BuyFor,SellFor,Volume,PreviousBuyPrice,PreviousSellPrice,Label

0.0022953,0.0022944,1178297.2,-1,-1,BUY
0.0022973,0.0022964,1181302.07,0.0022953,0.0022944,HOLD
0.0024358,0.0024351,1329519.52,0.0022973,0.0022964,SELL
0.0024176,0.0024165,1314656.5,0.0024358,0.0024351,BUY
0.0024175,0.0024168,1318308.59,0.0024176,0.0024165,BUY
0.002418,0.0024166,1321173.35,0.0024175,0.0024168,HOLD
0.0024177,0.0024169,1330215.31,0.002418,0.0024166,BUY
0.0024248,0.0024232,1344771.1,0.0024177,0.0024169,SELL
0.002425,0.0024243,1370205.42,0.0024248,0.0024232,SELL
0.0024269,0.0024257,1386230.55,0.002425,0.0024243,SELL
0.0024281,0.0024272,1399275.2,0.0024269,0.0024257,SELL
0.0024526,0.002452,1643432.1,0.0024281,0.0024272,SELL
0.0024526,0.0024521,1643838.87,0.0024526,0.002452,SELL
0.0024498,0.0024486,1653620.63,0.0024526,0.0024521,SELL
0.0024482,0.0024472,1653143.01,0.0024498,0.0024486,SELL
0.0024484,0.0024475,1651501.13,0.0024482,0.0024472,SELL
0.0024356,0.0024352,1658616.25,0.0024484,0.0024475,SELL
0.0024389,0.0024384,1657697.33,0.0024356,0.0024352,SELL
0.0024369,0.0024357,1650637.77,0.0024389,0.0024384,SELL
0.0024283,0.0024269,1642388.16,0.0024369,0.0024357,SELL
0.0024288,0.0024277,1639486.14,0.0024283,0.0024269,SELL
0.0024326,0.0024308,1636716.05,0.0024288,0.0024277,SELL
0.0024339,0.0024327,1627843.32,0.0024326,0.0024308,SELL
0.002441,0.0024397,1625525.83,0.0024339,0.0024327,SELL
0.0024374,0.0024358,1618928.27,0.002441,0.0024397,SELL
0.0024345,0.0024334,1613760.79,0.0024374,0.0024358,SELL
0.0024382,0.0024376,1605783.28,0.0024345,0.0024334,SELL
0.0024507,0.002449,1602550.92,0.0024382,0.0024376,SELL
0.0024523,0.0024516,1589974.23,0.0024507,0.002449,SELL
0.0024471,0.0024468,1579700.31,0.0024523,0.0024516,SELL
0.0024413,0.0024402,1572825.86,0.0024471,0.0024468,SELL
0.0024443,0.0024429,1555426.56,0.0024413,0.0024402,SELL
0.0024407,0.0024399,1553382.57,0.0024443,0.0024429,SELL
0.0024387,0.0024379,1551660.91,0.0024407,0.0024399,SELL
0.0024479,0.0024467,1550001.6,0.0024387,0.0024379,SELL
0.0024438,0.0024425,1546420.79,0.0024479,0.0024467,SELL
0.0024418,0.0024411,1546879.48,0.0024438,0.0024425,SELL
0.0024397,0.0024391,1546036.88,0.0024418,0.0024411,SELL
0.0024388,0.0024387,1541367.32,0.0024397,0.0024391,SELL
0.0024358,0.0024349,1542695.7,0.0024388,0.0024387,SELL
0.0024331,0.002433,1543299.57,0.0024358,0.0024349,SELL
0.0024315,0.0024313,1543142.48,0.0024331,0.002433,SELL
0.0024338,0.0024333,1543412.75,0.0024315,0.0024313,SELL
0.002424,0.0024227,1544346.4,0.0024338,0.0024333,SELL
0.002426,0.0024251,1538064.11,0.002424,0.0024227,SELL
0.0024249,0.0024231,1526793.86,0.002426,0.0024251,SELL
0.0024327,0.0024309,1517067.56,0.0024249,0.0024231,SELL
0.0024286,0.0024272,1490448.95,0.0024327,0.0024309,SELL
0.0024324,0.0024296,1480588.41,0.0024286,0.0024272,SELL
0.0024268,0.0024253,1477419.58,0.0024324,0.0024296,SELL
0.0024186,0.0024175,1471910.91,0.0024268,0.0024253,BUY
0.0024232,0.002423,1466868.77,0.0024186,0.0024175,SELL
0.0024099,0.0024085,1461752.4,0.0024232,0.002423,BUY
0.002418,0.0024167,1432272.31,0.0024099,0.0024085,HOLD
0.00242,0.0024195,1418105.88,0.002418,0.0024167,SELL
0.0024198,0.0024182,1409992.81,0.00242,0.0024195,SELL
0.0024183,0.0024175,1401837.8,0.0024198,0.0024182,BUY
0.0024169,0.002416,1400434.63,0.0024183,0.0024175,BUY
0.0024224,0.0024211,1402887.34,0.0024169,0.002416,SELL
0.0024149,0.0024135,1402971.7,0.0024224,0.0024211,BUY
